NUM_POST,latitude,longitude,type,commune,altitude,nom_usuel,num_dep
14239001,49.388,-0.957,TN,ENGLESQUEVILLE-LA-PERCEE,38,ENGLESQUEVILLE,14
14578001,49.365,0.167,RR,SAINT-GATIEN-DES-BOIS,139,ST GATIEN DES B,14
14578001,49.365,0.167,TN,SAINT-GATIEN-DES-BOIS,139,ST GATIEN DES B,14
14578001,49.365,0.167,TX,SAINT-GATIEN-DES-BOIS,139,ST GATIEN DES B,14
14634001,49.007,0.13,RR,LIVAROT-PAYS-D'AUGE,140,SAINT MICHEL DE,14
15014004,44.892,2.419,RR,AURILLAC,632,AURILLAC,15
15050001,45.173,2.711,RR,LE CLAUX,1033,LE CLAUX,15
15050001,45.173,2.711,TN,LE CLAUX,1033,LE CLAUX,15
15050001,45.173,2.711,TX,LE CLAUX,1033,LE CLAUX,15
15085001,44.855,2.541,RR,LABROUSSE,800,LABROUSSE,15
15118002,45.003,2.475,RR,MARMANHAC,644,MARMANHAC,15
15118002,45.003,2.475,TN,MARMANHAC,644,MARMANHAC,15
15119001,45.263,3.198,RR,MASSIAC,533,MASSIAC,15
15162003,45.28,2.665,RR,RIOM-ES-MONTAGNES,837,RIOM-MONTAGNES,15
15187006,45.024,3.067,RR,SAINT-FLOUR,909,ST FLOUR,15
15191001,45.064,2.304,RR,SAINT-ILLIDE,635,ST ILLIDE,15
16028001,45.481,-0.149,RR,BARBEZIEUX-SAINT-HILAIRE,72,BARBEZIEUX,16
16113001,45.628,0.1,RR,LA COURONNE,58,LA COURONNE,16
16113001,45.628,0.1,TN,LA COURONNE,58,LA COURONNE,16
16113001,45.628,0.1,TX,LA COURONNE,58,LA COURONNE,16
16193001,45.736,-0.382,RR,CHERVES-RICHEMONT,51,LOUZAC ST ANDRE,16
16256001,45.334,-0.079,RR,PASSIRAC,114,PASSIRAC,16
16390001,45.949,0.062,RR,TUSSON,88,TUSSON,16
17093002,45.862,-1.204,RR,LE CHATEAU-D'OLERON,3,CHATEAU D'OLERON,17
17111001,45.477,-0.51,RR,CLION,35,CLION,17
17218001,46.316,-1.012,RR,MARANS,2,MARANS,17
17224001,45.859,-0.32,RR,MATHA,38,MATHA,17
17243002,45.22,-0.292,RR,MONTLIEU-LA-GARDE,89,MONTLIEU_SAPC,17
17243002,45.22,-0.292,TN,MONTLIEU-LA-GARDE,89,MONTLIEU_SAPC,17
