COMMUNE,NUM_POSTE,ALTI,NOM_USUEL,LAT_DG,NUM_DEP,LON_DG,ficheClimComplete,ficheClimReduite
AVANT-LES-RAMERUPT,10021001,118,AVANT-LES-RAMERUPT,48.451333,10,4.283667,0,0
BARBEREY-SAINT-SULPICE,10030001,112,TROYES-BARBEREY,48.324667,10,4.02,1,1
BERULLE,10042001,146,BERULLE,48.179,10,3.663333,0,0
FONTAINE-MACON,10057001,102,BOUY-SUR-ORVIN,48.439833,10,3.504833,0,1
CELLES-SUR-OURCE,10070001,275,CELLES-SUR-OURCE,48.0675,10,4.411333,0,1
CHESSY-LES-PRES,10099002,119,CHESSY-LES-PRES_SAPC,48.0255,10,3.915,0,1
CUNFIN,10119001,315,CUNFIN_SAPC,48.0365,10,4.6785,0,1
DOSNON,10130001,115,DOSNON,48.609167,10,4.224667,0,1
LES GRANDES-CHAPELLES,10166002,111,GRANDES-CHAPELL,48.468167,10,4.016833,0,0
MATHAUX,10228002,145,MATHAUX-ETAPE,48.353167,10,4.472333,1,1
MESNIL-SAINT-PERE,10238001,142,MESNIL-ST-PERE,48.244833,10,4.322167,0,1
METZ-ROBERT,10241001,140,METZ-ROBERT_SAPC,48.0745,10,4.101167,0,0
MUSSY-SUR-SEINE,10261001,193,MUSSY-SUR-SEINE,47.983833,10,4.495833,0,0
ROMILLY-SUR-SEINE,10323001,77,ROMILLY,48.503333,10,3.7495,0,1
SAINT-MARDS-EN-OTHE,10350001,227,ST-MARDS,48.169833,10,3.789,0,1
SAINT-LEGER-PRES-TROYES,10360001,122,ST-POUANGE,48.238833,10,4.049833,0,1
SOULAINES-DHUYS,10372001,138,SOULAINES,48.399333,10,4.671333,1,1
VENDEUVRE-SUR-BARSE,10401001,180,VENDEUVRE-SUR-B,48.233,10,4.463,0,0
VILLEMOYENNE,10419001,134,VILLEMOYENNE,48.1785,10,4.233833,0,0
ALAIGNE,11004001,293,ALAIGNE,43.1125,11,2.098333,0,1
ARGELIERS,11012001,31,ARGELIERS,43.308167,11,2.911667,0,1
ARQUES,11015001,350,ARQUES,42.951833,11,2.374833,0,0
ARQUETTES-EN-VAL,11016003,240,ARQUETTES-EN-VAL,43.100833,11,2.503333,0,1
BELCAIRE,11028001,980,BELCAIRE,42.8195,11,1.968167,0,1
CARCASSONNE,11069001,128,CARCASSONNE,43.215333,11,2.2955,1,1
CASTELNAUDARY,11076001,160,CASTELNAUDARY,43.305333,11,1.949167,0,1
CAUNES-MINERVOIS,11081003,371,CAUNES-MINERVOIS,43.334333,11,2.481,0,1
DURBAN-CORBIERES,11124003,120,DURBAN-CORBIERES,42.993167,11,2.819167,0,1
FANJEAUX,11136001,182,FANJEAUX_SAPC,43.202,11,2.07,0,1
FITOU,11144001,9,FITOU,42.894667,11,2.995833,0,1
RIBOUISSE,11159002,302,RIBOUISSE,43.182833,11,1.895833,0,0
GRANES,11168001,420,GRANES,42.909167,11,2.2505,0,1
LABECEDE-LAURAGAIS,11181002,408,LABECEDE LAURAGAIS_SAPC,43.3895,11,2.022167,0,1
LAGRASSE,11185001,130,LAGRASSE,43.0915,11,2.621833,0,1
LEUCATE,11202001,42,LEUCATE,42.917333,11,3.059667,0,0
CONILHAC-CORBIERES,11203004,60,LEZIGNAN-CORBIERES,43.173,11,2.728833,1,1
LIMOUX,11206003,230,LIMOUX,43.046,11,2.201167,0,1
LES MARTYS,11221004,760,LES MARTYS,43.4085,11,2.292333,0,1
MONTFERRAND,11243001,190,MONTFERRAND,43.3535,11,1.821667,0,1
MONTOLIEU,11253001,280,MONTOLIEU,43.312667,11,2.2405,0,0
MOUTHOUMET,11260002,538,MOUTHOUMET,42.9595,11,2.529,1,1
NARBONNE,11262005,110,NARBONNE,43.150333,11,2.955833,1,1
PORT-LA-NOUVELLE,11266001,0,PORT-LA-NOUVELLE,43.0145,11,3.0525,0,0
PORTEL-DES-CORBIERES,11295001,29,PORTEL-DES-CORBIERES,43.041,11,2.9435,0,1
SAINT-BENOIT,11333001,601,ST BENOIT,43.004,11,2.0455,0,1
PENNAUTIER,11404001,123,VENTENAC-CABARDES,43.264833,11,2.302333,0,1
VILLARDEBELLE,11412001,593,VILLARDEBELLE_SAPC,43.014833,11,2.4005,0,0
ARGENCES EN AUBRAC,12005001,1107,ALPUECH,44.756,12,2.868167,0,0
